regime,SAMPLE_ID,STATION,STARTLAT,STARTLON,YEAR,MONTH,DAY,DEPTH,SimpleDEPTH,TurnerChla,chla,chlb,chlc3,Fuco,Peri,Zea,Allo,ButFuco,HexFuco,Pras,CTD_Salinity,CTD_Temp,prasino2,dino1,crypto,hapto6,phaeo,diatom,dictyo,chloro
Basin,400103,L3_15,56.96,-52.2375,2014,5,7,1.74,2,0.56987,0.499,0.189,0,0.077,0,0,0,0.055,0.116,0,34.7927,3.3463,0.259497779,4.40E-05,0.001162265,0.301043088,0,0.34263763,0.092072449,0.003542751
Basin,400127,L3_16,57.3803,-51.7925,2014,5,7,2.55,2,1.19643,0.881,0,0.187,0.135,0,0,0,0,0.173,0,34.8146,3.6015,0,4.33E-05,0.001142861,0.254941028,0.730057321,0,0,0.013815488
Basin,400146,L3_17,57.7957,-51.3347,2014,5,7,1.66,2,0.5106,0.446,0.188,0,0.083,0,0,0,0.054,0.096,0,34.8333,3.5253,0.266034899,0,0,0.256453591,0,0.38417156,0.09333995,0
Basin,400175,L3_17,57.7997,-51.3327,2014,5,7,3.69,2,0.47413,0.386,0.177,0,0.073,0,0,0,0,0.082,0,34.8344,3.5073,0.263725954,0,0,0.230556795,0,0.50571725,0,0
MixPhaeo,400199,L3_18,58.2172,-50.884,2014,5,8,3.32,2,1.51854,1.025,0.257,0.203,0.183,0,0,0,0,0.114,0,34.7441,3.3363,0.167841602,1.19E-05,0.000313054,0.141125721,0.690707762,0,0,0
HighPhaeo,400223,L3_19,58.6395,-50.4197,2014,5,8,2.35,2,3.69297,2.477,0,0.626,0.592,0,0,0,0,0.136,0,34.5919,3.0405,0,3.93E-05,0.00103755,0.071284171,0.915096538,0,0,0.01254243
HighPhaeo,400242,L3_20,59.0698,-49.9388,2014,5,8,1.11,2,4.2448,2.209,0,0.583,0.557,0,0,0,0,0,0,34.6182,2.9675,0,6.06E-05,0.001600651,0.000392628,0.978596586,0,0,0.019349488
HighPhaeo,400295,L3_21,59.4825,-49.4733,2014,5,8,3.99,2,2.16485,1.209,0,0.224,0.342,0,0,0,0,0,0,34.5218,2.7304,0,0.000150949,0.003984039,0.000513655,0.763774291,0.18341596,0,0.048161106
HighPhaeo,400319,L3_23,59.982,-48.891,2014,5,9,3.44,2,3.05625,1.655,0,0.37,0.308,0,0,0,0,0.116,0,34.3818,2.7086,0,0.000139682,0.003686683,0.097814761,0.853792359,0,0,0.044566514
Shelf,400333,L3_27,60.45,-48.3625,2014,5,9,1.9,2,4.58438,1.854,0,0.316,0.381,0,0,0,0,0,0,33.267,-0.1252,0,0.000444458,0.011730708,0.001512418,0.838216019,0.0062896,0,0.141806797
Shelf,400344,L3_28,60.57,-48.229,2014,5,9,1.67,2,7.50989,4.838,0,0.411,1.215,0,0,0,0,0,0,33.2141,0.3878,0,0.000188844,0.004984232,0.000642608,0.358420889,0.575511478,0,0.060251949
Shelf,400363,L3_27.5,60.5077,-48.2927,2014,5,9,1.88,2,6.3672,3.905,0,0.727,0.832,0,0,0,0,0,0,33.2621,-0.0219,0,0.000371071,0.009793803,0.001298237,0.870144392,0,0,0.118392496
Shelf,400394,L3_26,60.3577,-48.4582,2014,5,9,2.22,2,1.07372,0.459,0,0,0.101,0,0,0,0,0,0,33.064,-0.3087,0,0.000238113,0.006284602,0.000794317,0,0.916711482,0,0.075971485
Basin,400418,L3_25,60.2907,-48.5413,2014,5,10,3.51,2,0.69024,0.448,0,0,0.098,0,0,0,0,0,0,33.0617,-0.3218,0,0.000242915,0.006411333,0.000810334,0,0.915031947,0,0.077503471
