"","aphy","aspecphy","acdom","anap","aslope","acdomphy"
"All","0.038","0.037","0.058","0.005","0.015","0.93"
"All.1","[0.022 - 0.071]","[0.025 - 0.05]","[0.043 - 0.088]","[0.003 - 0.009]","[0.013 - 0.016]","[0.562 - 2.195]"
"DDS","0.046 * A","0.023 * A","0.085 * A","0.007 * A","0.015 * ns","1.718 * A"
"DDS.1","[0.03 - 0.075]","[0.017 - 0.033]","[0.061 - 0.112]","[0.005 - 0.012]","[0.014 - 0.017]","[0.891 - 3.041]"
"HPB","0.085 * B","0.027 * B","0.051 * B","0.01 * A","0.014 * ns","0.529 * B"
"HPB.1","[0.067 - 0.112]","[0.023 - 0.034]","[0.026 - 0.065]","[0.006 - 0.016]","[0.013 - 0.015]","[0.376 - 0.628]"
"MPB","0.039 * A","0.039 * C","0.049 * B","0.005 * B","0.014 * ns","1.276 * A"
"MPB.1","[0.031 - 0.059]","[0.034 - 0.045]","[0.044 - 0.054]","[0.003 - 0.006]","[0.014 - 0.015]","[0.791 - 1.641]"
"LCB","0.022 * C","0.054 * D","0.038 * AB","0.003 * B","0.014 * ns","0.993 * AB"
"LCB.1","[0.016 - 0.03]","[0.044 - 0.069]","[0.028 - 0.081]","[0.002 - 0.005]","[0.01 - 0.016]","[0.523 - 3.074]"
